Graph,Nodes,Edges,Gamma,Iterations,Modularity,Silhouette,Communities,Duration
Teachers,168,665,0.020000,49,0.048237,0.030950,17,5.7735
Teachers,168,665,0.100000,62,0.336704,0.207141,25,3.5216
Teachers,168,665,0.200000,40,0.302344,0.347649,35,3.0197
Teachers,168,665,0.500000,44,0.270412,0.499098,50,2.6835
Teachers,168,665,1.000000,29,0.169231,0.632440,73,3.0764
