Name,Url,Table,SI
"Вольф, Дмитрий Александрович",,Кафедра технологии программирования,https://www.elibrary.ru/author_items.asp?authorid=985727&pubrole=100&show_refs=1&pubcat=risc
Воронкова Ева Боруховна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/224-voronkova-eva-borukhovna.html,Математического моделирования энергетических систем,https://www.elibrary.ru/author_items.asp?authorid=111797&show_refs=1
Вяльцева Виктория Витальевна,,Кафедра вычислительных методов механики деформируемого тела,https://www.elibrary.ru/author_items.asp?authorid=1175666&pubrole=100&show_refs=1&pubcat=risc
Галикеев Амир Римович,,Кафедра математического моделирования энергетических систем,
Гасратова Наталья Александровна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/227-gasratova-natalya-aleksandrovna.html,Вычислительных методов механики деформируемого тела,https://www.elibrary.ru/author_items.asp?authorid=179916&show_refs=1
"Гирдюк, Дмитрий Викторович",,Кафедра диагностики функциональных систем,https://www.elibrary.ru/author_items.asp?authorid=1014209&pubrole=100&show_refs=1&pubcat=risc
Головкина Анна Геннадьевна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/228-golovkina-anna-gennadevna.html,Теории систем управления электрофизической аппаратурой,https://www.elibrary.ru/author_items.asp?authorid=680416&show_refs=1
Гончарова Анастасия Борисовна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/229-goncharova-anastasiya-borisovna.html,Теории систем управления электрофизической аппаратурой,https://www.elibrary.ru/author_items.asp?authorid=162873&show_refs=1
Гончарова Марина Витальевна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/230-goncharova-marina-vitalevna.html,Управления медико-биологическими системами,https://www.elibrary.ru/author_items.asp?authorid=178256&show_refs=1
Горшанова Анастасия,,Кафедра высшей математики,https://www.elibrary.ru/author_items.asp?authorid=1318140&pubrole=100&show_refs=1&pubcat=risc
Греков Михаил Александрович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/231-grekov-mikhail-aleksandrovich.html,Вычислительных методов механики деформируемого тела,https://www.elibrary.ru/author_items.asp?authorid=7255&show_refs=1
Гришкин Валерий Михайлович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/232-grishkin-valerij-mikhajlovich.html,Компьютерного моделирования и многопроцессорных систем,https://www.elibrary.ru/author_items.asp?authorid=11174&show_refs=1
Губар Елена Алексеевна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/235-gubar-elena-alekseevna.html,Математической теории игр и статистических решений,https://www.elibrary.ru/author_items.asp?authorid=131261&show_refs=1
Давыденко Александр Александрович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/236-davydenko-aleksandr-aleksandrovich.html,Фундаментальной информатики и распределенных систем,https://www.elibrary.ru/author_items.asp?authorid=709348&show_refs=1
Дегтярев Александр Борисович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/237-degtyarev-aleksandr-borisovich.html,Компьютерного моделирования и многопроцессорных систем,https://www.elibrary.ru/author_items.asp?authorid=9143&show_refs=1
"Дик, Александр Геннадьевич",,Кафедра компьютерного моделирования и многопроцессорных систем,
"Дик, Геннадий Давидович",,Кафедра компьютерного моделирования и многопроцессорных систем,
"Долгинцева, Елизавета Андреевна",,Кафедра математического моделирования энергетических систем,
Доронин Григорий Геннадьевич,,Моделирования электромеханических и компьютерных систем,https://www.elibrary.ru/author_items.asp?authorid=1230301&pubrole=100&show_refs=1&pubcat=risc
Дривотин Олег Игоревич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/238-drivotin-oleg-igorevich.html,Теории систем управления электрофизической аппаратурой,https://www.elibrary.ru/author_items.asp?authorid=11162&show_refs=1
"Дромашко, Максим Сергеевич",,Кафедра математического моделирования энергетических систем,
Евстафьева Виктория Викторовна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/240-evstafeva-viktoriya-viktorovna.html,Высшей математики,https://www.elibrary.ru/author_items.asp?authorid=17198&show_refs=1
Евстафьева Ирина Александровна,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/239-evstafeva-irina-aleksandrovna.html,Вычислительных методов механики деформируемого тела,https://www.elibrary.ru/author_items.asp?authorid=772163&pubrole=100&show_refs=1&pubcat=risc
Егоров Алексей Валерьевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/242-egorov-aleksej-valerevich.html,Теории управления,https://www.elibrary.ru/author_items.asp?authorid=702990&pubrole=100&show_refs=1&pubcat=risc
Егоров Николай Васильевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/241-egorov-nikolaj-vasilevich.html,Моделирования электромеханических и компьютерных систем,https://www.elibrary.ru/author_items.asp?authorid=7842&show_refs=1
Едаменко Николай Семенович,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/243-edamenko-nikolaj-semjonovich.html,Теории систем управления электрофизической аппаратурой,https://www.elibrary.ru/author_items.asp?authorid=11161&show_refs=1
Екимов Александр Валерьевич,https://apmath.spbu.ru/fakultet/spisok-i-rejting-nauchno-pedagogicheskikh-rabotnikov/14-prepodavateli/244-ekimov-aleksandr-valerevich.html,Моделирования экономических систем,https://www.elibrary.ru/author_items.asp?authorid=75734&show_refs=1
Елизарова Марина Владиславовна,,Диагностики функциональных систем,
